feature,importance
شقة,0.3591290734376479
شقة_للبيع,0.28494151236031035
شقة_للبيع شقة,0.28494151236031035
أن,0.27570342359236405
شقق,0.2667398402532716
مشروع,0.2605623981005272
الخصائص_للبيع,0.25776045689243343
من,0.2567686749057742
مطبخ,0.2468967915483294
شقق_للبيع شقق,0.24588910495140565
شقة شقق_للبيع,0.24588910495140565
شقق_للبيع,0.231999732032667
اسطنبول,0.2212368129574498
ankara,0.22100156266167031
for,0.22100156266167031
مياه,0.21677617255803194
العقار,0.21149036768694818
للتواصل,0.21133923412394715
للتواصل معنا,0.21133923412394715
غرف,0.207604153223643
الخصائص_للبيع عقار_للبيع,0.19984718829281822
عقار_للبيع,0.19984718829281822
فرصة,0.19825833866938636
عقار,0.19803080230759545
حيث,0.19700985310974264
مدينة,0.19597021260437425
مدينة اسطنبول,0.19597021260437425
صاله,0.19335929209580419
شقق الخصائص_للبيع,0.19196869059591834
شراء,0.1883155956991957
sale,0.18612969804648882
for sale,0.18612969804648882
معنا,0.18209334324183407
للبيع,0.18147554870139962
دورات,0.18099199965782906
في,0.17971173222332518
اسطنبول الأوروبية,0.17914407057163267
استثمار,0.17812785650869642
تركيا,0.17805452054009507
in,0.17596811449282376
apartment,0.17596811449282376
in ankara,0.17596811449282376
لا,0.17276240923095157
مناسب,0.1694406423459772
طرابزون,0.16879345394020034
معنا website,0.1672844837259239
website,0.1672844837259239
bedrooms,0.16676555323726344
عقار_للبيع عقار,0.16652481259178523
عقارات,0.16357569905737865
الآن,0.16270718630243466
إلى,0.16256148778832363
على,0.16106422946739868
3غرف,0.16084535836460176
أو,0.15975928717379323
sqm,0.15894661832040666
التركية,0.1572047381415248
جديد,0.15572996173497905
الجنسية_التركية,0.15509099754366185
منزل,0.1538225015203173
فاخرة,0.15218248057536277
إضافة إلى,0.15085190068125146
إضافة,0.15085190068125146
المشروع,0.14944597413448985
هو,0.14888272678347542
خزان,0.14791404899398272
علوي,0.14791404899398272
صاله مطبخ,0.14613250005944867
الأوروبية,0.1452913322340172
tel,0.14494969650266695
إسطنبول,0.14431756415095298
ديدن_للعقارات_والاستثمارات,0.1442198024684132
غير,0.14372834014821437
العقارات,0.14299537403197635
livingroom,0.14277602157677174
bedrooms livingroom,0.14277602157677174
rt,0.14175904992196
5غرف,0.1411959389154243
شقق للبيع,0.14077637904762472
واحصل على,0.14034272166008527
واحصل,0.14034272166008527
كود,0.1400489297567229
كود المشروع,0.1400489297567229
أكثر,0.13964296995953945
مجمع,0.1385491046086721
في طرابزون,0.13822039497576905
المالك,0.13809914182839195
عقار عقارات,0.1364984098548538
تملك,0.13590172322116392
خلال,0.1355586686349422
للإستثمار,0.13509368621100837
شقة_للإيجار,0.13317409487929294
شقة_للإيجار شقة,0.13317409487929294
إن,0.13134395369741259
تواصل,0.13093296676693733
لسكن,0.1298632958593445
قلب,0.1276335701622746
بعتلي,0.12690152838068383
ضمن,0.12597268949119403
تفاصيل,0.12456296052057622
ذلك,0.12399284075957388
عن,0.12399284075957388
العراق,0.12346750383977283
شركة,0.12314476763960791
علوي وسفلي,0.12143454066975616
وسفلي,0.12143454066975616
المناطق,0.12124445763222498
بحرية,0.12114482882019509
بإطلالة بحرية,0.12114482882019509
بإطلالة,0.12114482882019509
للسكن,0.1209590583938974
سكني,0.11963122448293957
للجنسية,0.11930232742183455
العقاري للتواصل,0.1191599075463508
العقاري,0.1172917878150693
التي,0.11728055762460798
تمليك,0.11696741604845144
تحديد,0.11572515142863035
فاخر,0.11369247476966464
pursaklar,0.11357816668822007
ankara pursaklar,0.11357816668822007
خزان علوي,0.11138644285730503
تتطلع,0.11114430655110348
مياة,0.1110239254265799
دورات مياة,0.1110239254265799
